person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
Фролов А Н,Ребенок,https://declarator.org/person/373875,Федеральная служба по финансовому мониторингу,федеральный орган,Заместитель начальника Управления,2021,Жилой дом,230.0,В пользовании
Фролов А Н,Супруг(а),https://declarator.org/person/373875,Федеральная служба по финансовому мониторингу,федеральный орган,Заместитель начальника Управления,2021,Жилой дом,230.0,В пользовании
Фролов А Н,Ребенок,https://declarator.org/person/373875,Федеральная служба по финансовому мониторингу,федеральный орган,Заместитель начальника Управления,2021,Жилой дом,230.0,В пользовании
Фролов А Н,Ребенок,https://declarator.org/person/373875,Федеральная служба по финансовому мониторингу,федеральный орган,Заместитель начальника Управления,2021,Жилой дом,230.0,В пользовании
Фролов А Н,декларант,https://declarator.org/person/373875,Федеральная служба по финансовому мониторингу,федеральный орган,Заместитель начальника Управления,2021,Жилой дом,230.0,В пользовании
Таиров Темур Таирович,декларант,https://declarator.org/person/129712,Федеральное агентство по рыболовству,федеральный орган,Представитель Росрыболовства в Канаде - Представители Росрыболовства за рубежом,2021,Квартира,98.8,В пользовании
Таиров Темур Таирович,Ребенок,https://declarator.org/person/129712,Федеральное агентство по рыболовству,федеральный орган,Представитель Росрыболовства в Канаде - Представители Росрыболовства за рубежом,2021,Квартира,98.8,В пользовании
Таиров Темур Таирович,Супруг(а),https://declarator.org/person/129712,Федеральное агентство по рыболовству,федеральный орган,Представитель Росрыболовства в Канаде - Представители Росрыболовства за рубежом,2021,Квартира,98.8,В пользовании
Максимов В И,Ребенок,https://declarator.org/person/1093483,Министерство промышленности и торговли,федеральный орган,Торговый представитель,2021,Квартира,118.4,В пользовании
Максимов В И,Ребенок,https://declarator.org/person/1093483,Министерство промышленности и торговли,федеральный орган,Торговый представитель,2021,Квартира,118.4,В пользовании
Максимов В И,декларант,https://declarator.org/person/1093483,Министерство промышленности и торговли,федеральный орган,Торговый представитель,2021,Квартира,118.4,В пользовании
Максимов В И,Супруг(а),https://declarator.org/person/1093483,Министерство промышленности и торговли,федеральный орган,Торговый представитель,2021,Квартира,118.4,В пользовании
Цой Эдуард Евгеньевич,Сын,https://declarator.org/person/136850,Законодательное собрание Приморского края,Приморский край,Депутат законодательного собрания Приморского края,2021,Квартира,46.4,В пользовании
Таиров Темур Таирович,декларант,https://declarator.org/person/129712,Федеральное агентство по рыболовству,федеральный орган,Представитель Росрыболовства в Канаде - Представители Росрыболовства за рубежом,2020,Квартира,98.8,В пользовании
Таиров Темур Таирович,Супруг(а),https://declarator.org/person/129712,Федеральное агентство по рыболовству,федеральный орган,Представитель Росрыболовства в Канаде - Представители Росрыболовства за рубежом,2020,Квартира,98.8,В пользовании
Таиров Темур Таирович,Ребенок,https://declarator.org/person/129712,Федеральное агентство по рыболовству,федеральный орган,Представитель Росрыболовства в Канаде - Представители Росрыболовства за рубежом,2020,Квартира,98.8,В пользовании
Фролов А Н,Ребенок,https://declarator.org/person/373875,Федеральная служба по финансовому мониторингу,федеральный орган,Заместитель начальника Управления,2020,Жилой дом,230.0,В пользовании
Фролов А Н,декларант,https://declarator.org/person/373875,Федеральная служба по финансовому мониторингу,федеральный орган,Заместитель начальника Управления,2020,Жилой дом,230.0,В пользовании
Фролов А Н,Супруг(а),https://declarator.org/person/373875,Федеральная служба по финансовому мониторингу,федеральный орган,Заместитель начальника Управления,2020,Жилой дом,230.0,В пользовании
Фролов А Н,Ребенок,https://declarator.org/person/373875,Федеральная служба по финансовому мониторингу,федеральный орган,Заместитель начальника Управления,2020,Жилой дом,230.0,В пользовании
Фролов А Н,Ребенок,https://declarator.org/person/373875,Федеральная служба по финансовому мониторингу,федеральный орган,Заместитель начальника Управления,2020,Жилой дом,230.0,В пользовании
Максимов В И,Ребенок,https://declarator.org/person/1093483,Министерство промышленности и торговли,федеральный орган,Торговый представитель,2020,Квартира,118.4,В пользовании
Максимов В И,Супруг(а),https://declarator.org/person/1093483,Министерство промышленности и торговли,федеральный орган,Торговый представитель,2020,Квартира,118.4,В пользовании
Максимов В И,декларант,https://declarator.org/person/1093483,Министерство промышленности и торговли,федеральный орган,Торговый представитель,2020,Квартира,118.4,В пользовании
Максимов В И,Ребенок,https://declarator.org/person/1093483,Министерство промышленности и торговли,федеральный орган,Торговый представитель,2020,Квартира,118.4,В пользовании
Цветков Александр Сергеевич,Ребенок,https://declarator.org/person/52012,Администрация Красногвардейского района,Санкт-Петербург,начальник Сектора жилищно-коммунального хозяйства Отдела районного хозяйства,2020,Квартира,151.0,В пользовании
Цветков Александр Сергеевич,Ребенок,https://declarator.org/person/52012,Администрация Красногвардейского района,Санкт-Петербург,начальник Сектора жилищно-коммунального хозяйства Отдела районного хозяйства,2020,Квартира,151.0,В пользовании
Цветков Александр Сергеевич,Ребенок,https://declarator.org/person/52012,Администрация Красногвардейского района,Санкт-Петербург,начальник Сектора жилищно-коммунального хозяйства Отдела районного хозяйства,2020,Квартира,151.0,В пользовании
Цветков Александр Сергеевич,Ребенок,https://declarator.org/person/52012,Администрация Красногвардейского района,Санкт-Петербург,начальник Сектора жилищно-коммунального хозяйства Отдела районного хозяйства,2020,Квартира,151.0,В пользовании
Таиров Темур Таирович,Ребенок,https://declarator.org/person/129712,Федеральное агентство по рыболовству,федеральный орган,Представитель Росрыболовства в Канаде - Представители Росрыболовства за рубежом,2019,Квартира,98.8,В пользовании
Таиров Темур Таирович,Ребенок,https://declarator.org/person/129712,Федеральное агентство по рыболовству,федеральный орган,Представитель Росрыболовства в Канаде - Представители Росрыболовства за рубежом,2019,Квартира,98.8,В пользовании
Таиров Темур Таирович,Супруг(а),https://declarator.org/person/129712,Федеральное агентство по рыболовству,федеральный орган,Представитель Росрыболовства в Канаде - Представители Росрыболовства за рубежом,2019,Квартира,98.8,В пользовании
Таиров Темур Таирович,декларант,https://declarator.org/person/129712,Федеральное агентство по рыболовству,федеральный орган,Представитель Росрыболовства в Канаде - Представители Росрыболовства за рубежом,2019,Квартира,98.8,В пользовании
Фролов А Н,Ребенок,https://declarator.org/person/373875,Федеральная служба по финансовому мониторингу,федеральный орган,Заместитель начальника Управления,2019,Жилой дом,230.0,В пользовании
Фролов А Н,Супруг(а),https://declarator.org/person/373875,Федеральная служба по финансовому мониторингу,федеральный орган,Заместитель начальника Управления,2019,Жилой дом,230.0,В пользовании
Фролов А Н,декларант,https://declarator.org/person/373875,Федеральная служба по финансовому мониторингу,федеральный орган,Заместитель начальника Управления,2019,Жилой дом,230.0,В пользовании
Фролов А Н,Ребенок,https://declarator.org/person/373875,Федеральная служба по финансовому мониторингу,федеральный орган,Заместитель начальника Управления,2019,Жилой дом,230.0,В пользовании
Фролов А Н,Ребенок,https://declarator.org/person/373875,Федеральная служба по финансовому мониторингу,федеральный орган,Заместитель начальника Управления,2019,Жилой дом,230.0,В пользовании
