person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
Дикусар С В,Супруг(а),https://declarator.org/person/510758,Избирательная комиссия Приморского края,Приморский край,"член Избирательной комиссии Приморского края с правом решающего голоса, работающий на постоянной основе",2021,Квартира,58.8,В пользовании
Дикусар С В,Ребенок,https://declarator.org/person/510758,Избирательная комиссия Приморского края,Приморский край,"член Избирательной комиссии Приморского края с правом решающего голоса, работающий на постоянной основе",2021,Квартира,58.8,В пользовании
Дикусар С В,Ребенок,https://declarator.org/person/510758,Избирательная комиссия Приморского края,Приморский край,"член Избирательной комиссии Приморского края с правом решающего голоса, работающий на постоянной основе",2021,Квартира,58.8,В пользовании
Дикусар С В,декларант,https://declarator.org/person/510758,Избирательная комиссия Приморского края,Приморский край,"член Избирательной комиссии Приморского края с правом решающего голоса, работающий на постоянной основе",2021,Квартира,58.8,В пользовании
Дикусар С В,Супруг(а),https://declarator.org/person/510758,Избирательная комиссия Приморского края,Приморский край,"член Избирательной комиссии Приморского края с правом решающего голоса, работающий на постоянной основе",2019,Квартира,58.8,В пользовании
Дикусар С В,Ребенок,https://declarator.org/person/510758,Избирательная комиссия Приморского края,Приморский край,"член Избирательной комиссии Приморского края с правом решающего голоса, работающий на постоянной основе",2019,Квартира,58.8,В пользовании
Дикусар С В,Ребенок,https://declarator.org/person/510758,Избирательная комиссия Приморского края,Приморский край,"член Избирательной комиссии Приморского края с правом решающего голоса, работающий на постоянной основе",2019,Квартира,58.8,В пользовании
Дикусар С В,декларант,https://declarator.org/person/510758,Избирательная комиссия Приморского края,Приморский край,"член Избирательной комиссии Приморского края с правом решающего голоса, работающий на постоянной основе",2019,Квартира,58.8,В пользовании
Дикусар С В,Ребенок,https://declarator.org/person/510758,Избирательная комиссия Приморского края,Приморский край,"член Избирательной комиссии Приморского края с правом решающего голоса, работающий на постоянной основе",2018,Квартира,58.8,В пользовании
Дикусар С В,декларант,https://declarator.org/person/510758,Избирательная комиссия Приморского края,Приморский край,"член Избирательной комиссии Приморского края с правом решающего голоса, работающий на постоянной основе",2018,Квартира,58.8,В пользовании
Дикусар С В,Супруг(а),https://declarator.org/person/510758,Избирательная комиссия Приморского края,Приморский край,"член Избирательной комиссии Приморского края с правом решающего голоса, работающий на постоянной основе",2018,Квартира,58.8,В пользовании
