person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
Блоцкий Владимир Николаевич,декларант,https://declarator.org/person/31877,Государственная Дума,федеральный орган,"Депутат государственной думы, заместитель председателя комитетa",2021,Жилой дом,312.0,Индивидуальная
Блоцкий Владимир Николаевич,декларант,https://declarator.org/person/31877,Государственная Дума,федеральный орган,"Депутат государственной думы, заместитель председателя комитетa",2021,Земельный участок,1050.0,Индивидуальная
Савельев Дмитрий Владимирович,Ребенок,https://declarator.org/person/233,Совет Федерации,федеральный орган,Член Совета Федерации от Тульской области,2021,Жилой дом,489.3,В пользовании
Савельев Дмитрий Владимирович,Супруг(а),https://declarator.org/person/233,Совет Федерации,федеральный орган,Член Совета Федерации от Тульской области,2021,Жилой дом,489.3,В пользовании
Савельев Дмитрий Владимирович,декларант,https://declarator.org/person/233,Совет Федерации,федеральный орган,Член Совета Федерации от Тульской области,2021,Жилой дом,489.3,В пользовании
Савельев Дмитрий Владимирович,Ребенок,https://declarator.org/person/233,Совет Федерации,федеральный орган,Член Совета Федерации от Тульской области,2021,Жилой дом,489.3,В пользовании
Савельев Дмитрий Владимирович,Ребенок,https://declarator.org/person/233,Совет Федерации,федеральный орган,Член Совета Федерации от Тульской области,2021,Жилой дом,489.3,В пользовании
Шувалов Игорь Иванович,декларант,https://declarator.org/person/528,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,председатель ВЭБ.РФ - ,2021,Квартира,483.0,В пользовании
Шувалов Игорь Иванович,Ребенок,https://declarator.org/person/528,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,председатель ВЭБ.РФ - ,2021,Квартира,483.0,В пользовании
Шувалов Игорь Иванович,Супруг(а),https://declarator.org/person/528,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,председатель ВЭБ.РФ - ,2021,Квартира,483.0,В пользовании
Шувалов И И,Ребенок,https://declarator.org/person/204028,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,,2021,Квартира,483.0,В пользовании
Шувалов И И,декларант,https://declarator.org/person/204028,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,,2021,Квартира,483.0,В пользовании
Шувалов И И,Супруг(а),https://declarator.org/person/204028,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,,2021,Квартира,483.0,В пользовании
Цехомский Николай Викторович,Ребенок,https://declarator.org/person/30583,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,,2021,Квартира,120.0,В пользовании
Шулькин Илья Григорьевич,Ребенок,https://declarator.org/person/14002,Законодательное собрание Пермского края,Пермский край,Депутат законодательного собрания Пермского края,2021,Иное,20.0,В пользовании
Рожков Михаил Юрьевич,Ребенок,https://declarator.org/person/15041,Законодательное собрание Ульяновской области,Ульяновская область,Депутат законодательного собрания Ульяновской области,2021,Иное,0.01,В пользовании
Рожков Михаил Юрьевич,Ребенок,https://declarator.org/person/15041,Законодательное собрание Ульяновской области,Ульяновская область,Депутат законодательного собрания Ульяновской области,2021,Иное,0.01,В пользовании
БЛОЦКИЙ Владимир Николаевич,декларант,https://declarator.org/office/14?active-tab=year-2021,Государственная Дума,федеральный орган,заместитель председателя комитетa Государственной Думы,2021,Жилой дом,312.0,Индивидуальная
БЛОЦКИЙ Владимир Николаевич,декларант,https://declarator.org/office/14?active-tab=year-2021,Государственная Дума,федеральный орган,заместитель председателя комитетa Государственной Думы,2021,Земельный участок,1050.0,Индивидуальная
БЛОЦКИЙ Владимир Николаевич,декларант,https://declarator.org/office/14?active-tab=year-2021,Государственная Дума,федеральный орган,заместитель председателя комитетa Государственной Думы,2021,Земельный участок,1050.0,Индивидуальная
БЛОЦКИЙ Владимир Николаевич,декларант,https://declarator.org/office/14?active-tab=year-2021,Государственная Дума,федеральный орган,заместитель председателя комитетa Государственной Думы,2021,Жилой дом,312.0,Индивидуальная
Савельев Дмитрий Владимирович,декларант,https://declarator.org/person/233,Совет Федерации,федеральный орган,Член Совета Федерации от Тульской области,2020,Жилой дом,489.3,В пользовании
Савельев Дмитрий Владимирович,Ребенок,https://declarator.org/person/233,Совет Федерации,федеральный орган,Член Совета Федерации от Тульской области,2020,Жилой дом,489.3,В пользовании
Савельев Дмитрий Владимирович,Ребенок,https://declarator.org/person/233,Совет Федерации,федеральный орган,Член Совета Федерации от Тульской области,2020,Жилой дом,489.3,В пользовании
Савельев Дмитрий Владимирович,Супруг(а),https://declarator.org/person/233,Совет Федерации,федеральный орган,Член Совета Федерации от Тульской области,2020,Жилой дом,489.3,В пользовании
Савельев Дмитрий Владимирович,Ребенок,https://declarator.org/person/233,Совет Федерации,федеральный орган,Член Совета Федерации от Тульской области,2020,Жилой дом,489.3,В пользовании
Блоцкий Владимир Николаевич,декларант,https://declarator.org/person/31877,Государственная Дума,федеральный орган,"Депутат государственной думы, член комитета",2020,Жилой дом,312.0,Индивидуальная
Блоцкий Владимир Николаевич,декларант,https://declarator.org/person/31877,Государственная Дума,федеральный орган,"Депутат государственной думы, член комитета",2020,Земельный участок,1050.0,Индивидуальная
Паслер Денис Владимирович,Ребенок,https://declarator.org/person/17638,Губернатор Оренбургской области,Оренбургская область,Губернатор Оренбургской области,2020,Квартира,0.01,В пользовании
Рожков Михаил Юрьевич,Ребенок,https://declarator.org/person/15041,Законодательное собрание Ульяновской области,Ульяновская область,Депутат законодательного собрания Ульяновской области - ,2020,Иное,0.01,В пользовании
Рожков Михаил Юрьевич,Ребенок,https://declarator.org/person/15041,Законодательное собрание Ульяновской области,Ульяновская область,Депутат законодательного собрания Ульяновской области - ,2020,Иное,0.01,В пользовании
Сонькин К.Г.,Ребенок,https://declarator.org/office/15?active-tab=year-2020,Счетная палата,федеральный орган,ведущий советник,2020,Квартира,50.0,В пользовании
Дэй Т В,декларант,https://declarator.org/person/515080,Аппарат думы Астраханской области,Астраханская область,заместитель начальника управления – начальник информационно-аналитического отдела организационно-аналитического управления Думы Астраханской области,2020,Жилой дом,180.0,В пользовании
Дэй Т В,Ребенок,https://declarator.org/person/515080,Аппарат думы Астраханской области,Астраханская область,заместитель начальника управления – начальник информационно-аналитического отдела организационно-аналитического управления Думы Астраханской области,2020,Жилой дом,180.0,В пользовании
Дэй Т В,Ребенок,https://declarator.org/person/515080,Аппарат думы Астраханской области,Астраханская область,заместитель начальника управления – начальник информационно-аналитического отдела организационно-аналитического управления Думы Астраханской области,2020,Жилой дом,180.0,В пользовании
Дэй Т В,Ребенок,https://declarator.org/person/515080,Аппарат думы Астраханской области,Астраханская область,заместитель начальника управления – начальник информационно-аналитического отдела организационно-аналитического управления Думы Астраханской области,2020,Жилой дом,180.0,В пользовании
Дэй Т В,Супруг(а),https://declarator.org/person/515080,Аппарат думы Астраханской области,Астраханская область,заместитель начальника управления – начальник информационно-аналитического отдела организационно-аналитического управления Думы Астраханской области,2020,Жилой дом,180.0,В пользовании
Шулькин Илья Григорьевич,Ребенок,https://declarator.org/person/14002,Законодательное собрание Пермского края,Пермский край,Депутат законодательного собрания Пермского края,2020,Иное,20.0,В пользовании
Шувалов Игорь Иванович,Супруг(а),https://declarator.org/person/528,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,председатель ВЭБ.РФ - ,2020,Квартира,483.0,В пользовании
Шувалов Игорь Иванович,декларант,https://declarator.org/person/528,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,председатель ВЭБ.РФ - ,2020,Квартира,483.0,В пользовании
Шувалов Игорь Иванович,Ребенок,https://declarator.org/person/528,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,председатель ВЭБ.РФ - ,2020,Квартира,483.0,В пользовании
Цехомский Николай Викторович,Ребенок,https://declarator.org/person/30583,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,первый заместитель председателя ВЭБ.РФ - член правления,2020,Квартира,120.0,В пользовании
Гордин М В,декларант,https://declarator.org/person/189171,Министерство промышленности и торговли,федеральный орган,Генеральный директор ФГУП «Центральный институт авиационного моторостроения им. П.И. Баранова»,2020,Квартира,92.5,Долевая собственность
Гордин М В,декларант,https://declarator.org/person/189171,Министерство промышленности и торговли,федеральный орган,Генеральный директор ФГУП «Центральный институт авиационного моторостроения им. П.И. Баранова»,2020,Квартира,92.5,Долевая собственность
Савельев Дмитрий Владимирович,Ребенок,https://declarator.org/office/5?active-tab=year-2020,Совет Федерации,федеральный орган,Сенатор Российской Федерации - представитель в Совете Федерации Федерального Собрания Российской Федерации от исполнительного органа государственной власти Тульской области,2020,Жилой дом,489.3,В пользовании
Савельев Дмитрий Владимирович,Ребенок,https://declarator.org/office/5?active-tab=year-2020,Совет Федерации,федеральный орган,Сенатор Российской Федерации - представитель в Совете Федерации Федерального Собрания Российской Федерации от исполнительного органа государственной власти Тульской области,2020,Жилой дом,489.3,В пользовании
Савельев Дмитрий Владимирович,Ребенок,https://declarator.org/office/5?active-tab=year-2020,Совет Федерации,федеральный орган,Сенатор Российской Федерации - представитель в Совете Федерации Федерального Собрания Российской Федерации от исполнительного органа государственной власти Тульской области,2020,Жилой дом,489.3,В пользовании
Савельев Дмитрий Владимирович,Супруг(а),https://declarator.org/office/5?active-tab=year-2020,Совет Федерации,федеральный орган,Сенатор Российской Федерации - представитель в Совете Федерации Федерального Собрания Российской Федерации от исполнительного органа государственной власти Тульской области,2020,Жилой дом,489.3,В пользовании
Савельев Дмитрий Владимирович,декларант,https://declarator.org/office/5?active-tab=year-2020,Совет Федерации,федеральный орган,Сенатор Российской Федерации - представитель в Совете Федерации Федерального Собрания Российской Федерации от исполнительного органа государственной власти Тульской области,2020,Жилой дом,489.3,В пользовании
БЛОЦКИЙ Владимир Николаевич,декларант,https://declarator.org/office/14?active-tab=year-2020,Государственная Дума,федеральный орган,член комитетa Государственной Думы,2020,Земельный участок,1050.0,Индивидуальная
БЛОЦКИЙ Владимир Николаевич,декларант,https://declarator.org/office/14?active-tab=year-2020,Государственная Дума,федеральный орган,член комитетa Государственной Думы,2020,Жилой дом,312.0,Индивидуальная
Паслер Денис Владимирович,Ребенок,https://declarator.org/person/17638,Губернатор Оренбургской области,Оренбургская область,Губернатор Оренбургской области,2019,Квартира,0.01,В пользовании
Каноков Арсен Баширович,Ребенок,https://declarator.org/person/559,Совет Федерации,федеральный орган,член Совета Федерации Федерального Собрания Российской Федерации от Кабардино-Балкарской Республики - представитель в Совете Федерации Федерального Собрания Российской Федерации от исполнительного органа государственной власти Кабардино-Балкарской Республики,2019,Иное,0.0,В пользовании
Каноков Арсен Баширович,Ребенок,https://declarator.org/person/559,Совет Федерации,федеральный орган,член Совета Федерации Федерального Собрания Российской Федерации от Кабардино-Балкарской Республики - представитель в Совете Федерации Федерального Собрания Российской Федерации от исполнительного органа государственной власти Кабардино-Балкарской Республики,2019,Иное,0.0,В пользовании
Савельев Дмитрий Владимирович,Ребенок,https://declarator.org/person/233,Совет Федерации,федеральный орган,член Совета Федерации Федерального Собрания Российской Федерации от Тульской области - представитель в Совете Федерации Федерального Собрания Российской Федерации от исполнительного органа государственной власти Тульской области - ,2019,Жилой дом,489.3,В пользовании
