person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
Черненко Олег Витальевич,декларант,https://declarator.org/person/201875,Губернатор Архангельской области,Архангельская область,Кандидат на должность главы региона,2024,Земельный участок,1102.5,Индивидуальная
Черненко Олег Витальевич,декларант,https://declarator.org/person/201875,Губернатор Архангельской области,Архангельская область,Кандидат на должность главы региона,2024,Земельный участок,71.7,Индивидуальная
Черненко Олег Витальевич,декларант,https://declarator.org/person/201875,Архангельское областное Собрание депутатов,Архангельская область,Депутат Архангельского областного собрания депутатов,2021,Земельный участок,1211.9,Индивидуальная
Черненко Олег Витальевич,декларант,https://declarator.org/person/201875,Архангельское областное Собрание депутатов,Архангельская область,Депутат Архангельского областного собрания депутатов,2021,Земельный участок,71.7,Индивидуальная
Черненко Олег Витальевич,декларант,https://declarator.org/person/201875,Архангельское областное Собрание депутатов,Архангельская область,Депутат Архангельского областного собрания депутатов,2021,Земельный участок,1102.5,Индивидуальная
Черненко Олег Витальевич,декларант,https://declarator.org/person/201875,Архангельское областное Собрание депутатов,Архангельская область," - жилой дом, индивиду-
71,5
Россия
МAZDA ВТ-50,",2021,Земельный участок,1102.5,Индивидуальная
Черненко Олег Витальевич,декларант,https://declarator.org/person/201875,Архангельское областное Собрание депутатов,Архангельская область," - жилой дом, индивиду-
71,5
Россия
МAZDA ВТ-50,",2021,Земельный участок,1211.8,Индивидуальная
Черненко Олег Витальевич,декларант,https://declarator.org/person/201875,Архангельское областное Собрание депутатов,Архангельская область," - жилой дом, индивиду-
71,5
Россия
МAZDA ВТ-50,",2021,Земельный участок,71.7,Индивидуальная
Евченко Константин Николаевич,декларант,https://declarator.org/person/361423,Федеральная служба по военно-техническому сотрудничеству,федеральный орган,Представитель ФСВТС России за рубежом,2012,Жилой дом,240.0,В собственности
Евченко Константин Николаевич,декларант,https://declarator.org/person/361423,Федеральная служба по военно-техническому сотрудничеству,федеральный орган,Представитель ФСВТС России за рубежом,2012,Квартира,2140.0,В собственности
Евченко Константин Николаевич,декларант,https://declarator.org/person/361423,Федеральная служба по военно-техническому сотрудничеству,федеральный орган,Представитель ФСВТС России за рубежом,2012,Земельный участок,280000.0,В собственности
Евченко Константин Николаевич,декларант,https://declarator.org/person/361423,Федеральная служба по военно-техническому сотрудничеству,федеральный орган,Представитель ФСВТС России за рубежом,2011,Жилой дом,240.0,В собственности
Евченко Константин Николаевич,декларант,https://declarator.org/person/361423,Федеральная служба по военно-техническому сотрудничеству,федеральный орган,Представитель ФСВТС России за рубежом,2011,Земельный участок,280000.0,В собственности
Евченко Константин Николаевич,декларант,https://declarator.org/person/361423,Федеральная служба по военно-техническому сотрудничеству,федеральный орган,Представитель ФСВТС России за рубежом,2011,Квартира,2140.0,В собственности
Евченко Константин Николаевич,декларант,https://declarator.org/person/361423,Федеральная служба по военно-техническому сотрудничеству,федеральный орган,Представитель ФСВТС России за рубежом,2010,Земельный участок,2140.0,В собственности
Евченко Константин Николаевич,декларант,https://declarator.org/person/361423,Федеральная служба по военно-техническому сотрудничеству,федеральный орган,Представитель ФСВТС России за рубежом,2010,Жилой дом,240.8,В собственности
Евченко Константин Николаевич,декларант,https://declarator.org/person/361423,Федеральная служба по военно-техническому сотрудничеству,федеральный орган,Представитель ФСВТС России за рубежом,2010,Земельный участок,280000.0,В собственности
