person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
Никитин М В,Ребенок,https://declarator.org/person/369040,Федеральная таможенная служба,федеральный орган,Представитель,2020,Квартира,75.0,В пользовании
Никитин М В,Ребенок,https://declarator.org/person/369040,Федеральная таможенная служба,федеральный орган,Представитель,2020,Квартира,75.0,В пользовании
Никитин М В,декларант,https://declarator.org/person/369040,Федеральная таможенная служба,федеральный орган,Представитель,2020,Квартира,75.0,В пользовании
Никитин М В,Супруг(а),https://declarator.org/person/369040,Федеральная таможенная служба,федеральный орган,Представитель,2020,Квартира,75.0,В пользовании
Никитин М В,Ребенок,https://declarator.org/person/369040,Федеральная таможенная служба,федеральный орган,Представитель,2020,Квартира,75.0,В пользовании
Никитин М В,Ребенок,https://declarator.org/person/369040,Федеральная таможенная служба,федеральный орган,Представитель,2020,Квартира,75.0,В пользовании
Никитин М В,Ребенок,https://declarator.org/person/369040,Федеральная таможенная служба,федеральный орган,Представитель,2019,Квартира,75.0,В пользовании
Никитин М В,Ребенок,https://declarator.org/person/369040,Федеральная таможенная служба,федеральный орган,Представитель,2019,Квартира,75.0,В пользовании
Никитин М В,декларант,https://declarator.org/person/369040,Федеральная таможенная служба,федеральный орган,Представитель,2019,Квартира,75.0,В пользовании
Никитин М В,Супруг(а),https://declarator.org/person/369040,Федеральная таможенная служба,федеральный орган,Представитель,2019,Квартира,75.0,В пользовании
Никитин М В,Ребенок,https://declarator.org/person/369040,Федеральная таможенная служба,федеральный орган,Представитель,2019,Квартира,75.0,В пользовании
Никитин М В,Ребенок,https://declarator.org/person/369040,Федеральная таможенная служба,федеральный орган,Представитель,2019,Квартира,75.0,В пользовании
Алферов Андрей Михайлович,Ребенок,https://declarator.org/person/128265,Федеральная таможенная служба,федеральный орган,Представитель,2018,Квартира,75.0,В пользовании
Алферов Андрей Михайлович,декларант,https://declarator.org/person/128265,Федеральная таможенная служба,федеральный орган,Представитель,2018,Квартира,75.0,В пользовании
Алферов Андрей Михайлович,Супруг(а),https://declarator.org/person/128265,Федеральная таможенная служба,федеральный орган,Представитель,2018,Квартира,75.0,В пользовании
Алферов Андрей Михайлович,Супруг(а),https://declarator.org/person/128265,Федеральная таможенная служба,федеральный орган,Представитель,2018,Квартира,75.0,В пользовании
Алферов Андрей Михайлович,декларант,https://declarator.org/person/128265,Федеральная таможенная служба,федеральный орган,Представитель,2018,Квартира,75.0,В пользовании
Алферов Андрей Михайлович,Ребенок,https://declarator.org/person/128265,Федеральная таможенная служба,федеральный орган,Представитель,2018,Квартира,75.0,В пользовании
Логинов Сергей Валентинович,Ребенок,https://declarator.org/person/63625,Министерство экономического развития,федеральный орган,Руководитель. Торговое представительство. Федеративная Республика Бразилия.,2017,Квартира,120.4,В пользовании
Логинов Сергей Валентинович,Супруг(а),https://declarator.org/person/63625,Министерство экономического развития,федеральный орган,Руководитель. Торговое представительство. Федеративная Республика Бразилия.,2017,Квартира,120.4,В пользовании
Логинов Сергей Валентинович,декларант,https://declarator.org/person/63625,Министерство экономического развития,федеральный орган,Руководитель. Торговое представительство. Федеративная Республика Бразилия.,2017,Квартира,120.4,В пользовании
Алферов Андрей Михайлович,Ребенок,https://declarator.org/person/128265,Федеральная таможенная служба,федеральный орган,Представитель ФТС России в Бразилии,2017,Квартира,75.0,В пользовании
Алферов Андрей Михайлович,Супруг(а),https://declarator.org/person/128265,Федеральная таможенная служба,федеральный орган,Представитель ФТС России в Бразилии,2017,Квартира,75.0,В пользовании
Алферов Андрей Михайлович,декларант,https://declarator.org/person/128265,Федеральная таможенная служба,федеральный орган,Представитель ФТС России в Бразилии,2017,Квартира,75.0,В пользовании
Алферов Андрей Михайлович,декларант,https://declarator.org/person/128265,Федеральная таможенная служба,федеральный орган,Представитель,2017,Квартира,75.0,В пользовании
Алферов Андрей Михайлович,Супруг(а),https://declarator.org/person/128265,Федеральная таможенная служба,федеральный орган,Представитель,2017,Квартира,75.0,В пользовании
Алферов Андрей Михайлович,Ребенок,https://declarator.org/person/128265,Федеральная таможенная служба,федеральный орган,Представитель,2017,Квартира,75.0,В пользовании
Алферов Андрей Михайлович,декларант,https://declarator.org/person/128265,Федеральная таможенная служба,федеральный орган,Представитель,2017,Квартира,75.0,В пользовании
Алферов Андрей Михайлович,Ребенок,https://declarator.org/person/128265,Федеральная таможенная служба,федеральный орган,Представитель,2017,Квартира,75.0,В пользовании
Алферов Андрей Михайлович,Супруг(а),https://declarator.org/person/128265,Федеральная таможенная служба,федеральный орган,Представитель,2017,Квартира,75.0,В пользовании
Логинов Сергей Валентинович,Ребенок,https://declarator.org/person/63625,Министерство экономического развития,федеральный орган,Торговый представитель - Торговые представители,2016,Квартира,120.4,В пользовании
