person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
Попов В Б,декларант,https://declarator.org/person/384395,Федеральное агентство по рыболовству,федеральный орган,Руководитель Представительства Росрыболовства в Исламской Республике Мавритания - Представители Росрыболовства за рубежом,2021,Жилой дом,96.5,В пользовании
Попов В Б,Супруг(а),https://declarator.org/person/384395,Федеральное агентство по рыболовству,федеральный орган,Руководитель Представительства Росрыболовства в Исламской Республике Мавритания - Представители Росрыболовства за рубежом,2021,Жилой дом,96.5,В пользовании
Попов В Б,декларант,https://declarator.org/person/384395,Федеральное агентство по рыболовству,федеральный орган,Руководитель Представительства Росрыболовства в Исламской Республике Мавритании - Представители Росрыболовства за рубежом,2019,Жилой дом,96.5,В пользовании
Попов В Б,Супруг(а),https://declarator.org/person/384395,Федеральное агентство по рыболовству,федеральный орган,Руководитель Представительства Росрыболовства в Исламской Республике Мавритании - Представители Росрыболовства за рубежом,2019,Жилой дом,96.5,В пользовании
Попов В Б,декларант,https://declarator.org/person/384395,Федеральное агентство по рыболовству,федеральный орган,"Руководитель 
Представительства 
Росрыболовства в 
Исламской Республике Мавритании - Центральный аппарат Росрыболовства",2018,Жилой дом,98.0,В пользовании
Попов В Б,Супруг(а),https://declarator.org/person/384395,Федеральное агентство по рыболовству,федеральный орган,"Руководитель 
Представительства 
Росрыболовства в 
Исламской Республике Мавритании - Центральный аппарат Росрыболовства",2018,Жилой дом,96.5,В пользовании
Попов В Б,декларант,https://declarator.org/person/384395,Федеральное агентство по рыболовству,федеральный орган,"Руководитель 
Представительства 
Росрыболовства в 
Исламской Республике Мавритании - Центральный аппарат Росрыболовства",2018,Жилой дом,98.0,В пользовании
Попов В Б,Супруг(а),https://declarator.org/person/384395,Федеральное агентство по рыболовству,федеральный орган,"Руководитель 
Представительства 
Росрыболовства в 
Исламской Республике Мавритании - Центральный аппарат Росрыболовства",2018,Жилой дом,96.5,В пользовании
Попов Виктор Борисович,декларант,https://declarator.org/person/129719,Федеральное агентство по рыболовству,федеральный орган,Руководитель представительства Росрыболовства в Исламской Республике Мавритания,2017,Жилой дом,98.0,В пользовании
Попов Виктор Борисович,Супруг(а),https://declarator.org/person/129719,Федеральное агентство по рыболовству,федеральный орган,Руководитель представительства Росрыболовства в Исламской Республике Мавритания,2017,Жилой дом,98.0,В пользовании
Бирюков Александр Евгеньевич,декларант,https://declarator.org/office/520?active-tab=year-2012,Федеральное агентство по рыболовству,федеральный орган,Руководитель представительс тва Синегал - Иностранные представители,2012,Квартира,74.0,В пользовании
Бирюков Александр Евгеньевич,декларант,https://declarator.org/office/520?active-tab=year-2011,Федеральное агентство по рыболовству,федеральный орган,"Руководитель представительс тва в Мавритании, советник 3 класса - Иностранные представители",2011,Иное,69.0,В пользовании
Бирюков Александр Евгеньевич,Супруг(а),https://declarator.org/office/520?active-tab=year-2011,Федеральное агентство по рыболовству,федеральный орган,"Руководитель представительс тва в Мавритании, советник 3 класса - Иностранные представители",2011,Иное,69.0,В пользовании
