person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
Мельник Татьяна Витальевна,Супруг(а),https://declarator.org/person/30923,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,вице-президент,2019,Квартира,58.3,В пользовании
Мельник Татьяна Витальевна,Супруг(а),https://declarator.org/person/30923,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,вице-президент,2019,Квартира,58.3,В пользовании
Мельник Татьяна Витальевна,Супруг(а),https://declarator.org/person/30923,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,вице-президент,2018,Квартира,58.3,В пользовании
Богатырь Александр Михайлович,декларант,https://declarator.org/person/63604,Министерство экономического развития,федеральный орган,Руководитель. Торговое представительство. Республика Куба.,2017,Квартира,83.2,В пользовании
Богатырь Александр Михайлович,Супруг(а),https://declarator.org/person/63604,Министерство экономического развития,федеральный орган,Руководитель. Торговое представительство. Республика Куба.,2017,Квартира,83.2,В пользовании
Богатырь Александр Михайлович,Супруг(а),https://declarator.org/person/63604,Министерство экономического развития,федеральный орган,Торговый представитель - Торговые представители,2016,Квартира,84.6,В пользовании
Богатырь Александр Михайлович,декларант,https://declarator.org/person/63604,Министерство экономического развития,федеральный орган,Торговый представитель - Торговые представители,2016,Квартира,84.6,В пользовании
Горлов Олег Сергеевич,Ребенок,https://declarator.org/person/63612,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2016,Квартира,73.6,В пользовании
Горлов Олег Сергеевич,декларант,https://declarator.org/person/63612,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2016,Квартира,73.6,В пользовании
Горлов Олег Сергеевич,Супруг(а),https://declarator.org/person/63612,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2016,Квартира,73.6,В пользовании
Настоящий А А,декларант,https://declarator.org/person/1134891,Министерство экономического развития,федеральный орган,Консультант - Консультанты,2016,Квартира,72.9,В пользовании
