person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
Слипенчук Михаил Викторович,декларант,https://declarator.org/person/641,Государственная Дума,федеральный орган,Заместитель председателя комитетa Государственной Думы,2015,Жилой дом,500.0,Индивидуальная
Слипенчук Михаил Викторович,декларант,https://declarator.org/person/641,Государственная Дума,федеральный орган,Заместитель председателя комитетa Государственной Думы,2015,Земельный участок,1200.0,Индивидуальная
Слипенчук Михаил Викторович,декларант,https://declarator.org/person/641,Государственная Дума,федеральный орган,Заместитель председателя комитетa Государственной Думы,2014,Земельный участок,1200.0,Индивидуальная
Слипенчук Михаил Викторович,декларант,https://declarator.org/person/641,Государственная Дума,федеральный орган,Заместитель председателя комитетa Государственной Думы,2014,Жилой дом,500.0,Индивидуальная
Слипенчук Михаил Викторович,декларант,https://declarator.org/person/641,Государственная Дума,федеральный орган,"Заместитель председателя комитета ГД по природным ресурсам, природопользованию и экологии",2013,Земельный участок,1349.0,Индивидуальная
Слипенчук Михаил Викторович,декларант,https://declarator.org/person/641,Государственная Дума,федеральный орган,"Заместитель председателя комитета ГД по природным ресурсам, природопользованию и экологии",2013,Земельный участок,1200.0,Индивидуальная
Слипенчук Михаил Викторович,декларант,https://declarator.org/person/641,Государственная Дума,федеральный орган,"Заместитель председателя комитета ГД по природным ресурсам, природопользованию и экологии",2013,Жилой дом,500.0,Индивидуальная
Слипенчук Михаил Викторович,декларант,https://declarator.org/person/641,Государственная Дума,федеральный орган,"Заместитель председателя комитета ГД по природным ресурсам, природопользованию и экологии",2013,Жилой дом,600.0,Индивидуальная
Слипенчук Михаил Викторович,декларант,https://declarator.org/person/641,Государственная Дума,федеральный орган,"Заместитель председателя комитета ГД по природным ресурсам, природопользованию и экологии",2012,Земельный участок,1200.0,Индивидуальная
Слипенчук Михаил Викторович,декларант,https://declarator.org/person/641,Государственная Дума,федеральный орган,"Заместитель председателя комитета ГД по природным ресурсам, природопользованию и экологии",2012,Жилой дом,600.0,Индивидуальная
Слипенчук Михаил Викторович,декларант,https://declarator.org/person/641,Государственная Дума,федеральный орган,"Заместитель председателя комитета ГД по природным ресурсам, природопользованию и экологии",2012,Жилой дом,500.0,Индивидуальная
Слипенчук Михаил Викторович,декларант,https://declarator.org/person/641,Государственная Дума,федеральный орган,"Заместитель председателя комитета ГД по природным ресурсам, природопользованию и экологии",2012,Земельный участок,1349.0,Индивидуальная
Слипенчук Михаил Викторович,декларант,https://declarator.org/person/641,Государственная Дума,федеральный орган,,2010,Жилой дом,600.0,Индивидуальная
Слипенчук Михаил Викторович,декларант,https://declarator.org/person/641,Государственная Дума,федеральный орган,,2010,Жилой дом,500.0,Индивидуальная
