person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
Шайхутдинов Рифат Габдулхакович,декларант,https://declarator.org/person/3380,Государственная Дума,федеральный орган,"Депутат государственной думы, первый заместитель председателя комитетa",2021,Иное,113.0,Индивидуальная
Шайхутдинов Рифат Габдулхакович,декларант,https://declarator.org/person/3380,Государственная Дума,федеральный орган,"Депутат государственной думы, первый заместитель председателя комитетa",2021,Земельный участок,6809.0,Долевая собственность
Шишкина Марина Анатольевна,декларант,https://declarator.org/person/9213,Законодательное собрание Санкт-Петербурга,Санкт-Петербург,"Заместитель председателя, депутат законодательного собрания Санкт-Петербурга",2021,Жилой дом,25.0,Совместная собственность
Шишкина Марина Анатольевна,декларант,https://declarator.org/person/9213,Законодательное собрание Санкт-Петербурга,Санкт-Петербург,"Заместитель председателя, депутат законодательного собрания Санкт-Петербурга",2021,Жилой дом,73.0,Совместная собственность
Шишкина Марина Анатольевна,Супруг(а),https://declarator.org/person/9213,Законодательное собрание Санкт-Петербурга,Санкт-Петербург,"Заместитель председателя, депутат законодательного собрания Санкт-Петербурга",2021,Жилой дом,25.0,Совместная собственность
Шишкина Марина Анатольевна,Супруг(а),https://declarator.org/person/9213,Законодательное собрание Санкт-Петербурга,Санкт-Петербург,"Заместитель председателя, депутат законодательного собрания Санкт-Петербурга",2021,Жилой дом,73.0,Совместная собственность
Шишкина Марина Анатольевна,Супруг(а),https://declarator.org/person/9213,Законодательное собрание Санкт-Петербурга,Санкт-Петербург,"Заместитель председателя, депутат законодательного собрания Санкт-Петербурга",2021,Земельный участок,10850.0,Совместная собственность
Шишкина Марина Анатольевна,декларант,https://declarator.org/person/9213,Законодательное собрание Санкт-Петербурга,Санкт-Петербург,"Заместитель председателя, депутат законодательного собрания Санкт-Петербурга",2021,Земельный участок,10850.0,Совместная собственность
Сидорова Л Г,Ребенок,https://declarator.org/person/1220777,Администрация Центрального района,Санкт-Петербург,"Директор ГБОУ школы № 153 Центрального района Санкт-Петербурга имени героя Российской Федерации В.В.Таташвили - - 
Пантюшова Н.Б.
Директор ГБОУ средней общеобразовательной школы с углубленным изучением предметов музыкального цикла «Тутти» Центрального района 
Санкт-Петербурга
квартира
общая долевая собственность,
доля в праве 1/6
99,9
Россия
дача
40,0
Россия

1 938 899,62",2021,Квартира,55.0,В пользовании
Сидорова Л Г,декларант,https://declarator.org/person/1220777,Администрация Центрального района,Санкт-Петербург,"Директор ГБОУ школы № 153 Центрального района Санкт-Петербурга имени героя Российской Федерации В.В.Таташвили - - 
Пантюшова Н.Б.
Директор ГБОУ средней общеобразовательной школы с углубленным изучением предметов музыкального цикла «Тутти» Центрального района 
Санкт-Петербурга
квартира
общая долевая собственность,
доля в праве 1/6
99,9
Россия
дача
40,0
Россия

1 938 899,62",2021,Квартира,55.0,В собственности
Линец Юрий Павлович,декларант,https://declarator.org/person/48537,Комитет по здравоохранению,Санкт-Петербург,"главный врач, Санкт-Петербургское государственное бюджетное учреждение здравоохранения «Городская Александровская больница»",2021,Дача,75.0,Индивидуальная
Петров Сергей Викторович,Супруг(а),https://declarator.org/person/48533,Комитет по здравоохранению,Санкт-Петербург,"главный врач, Санкт-Петербургское государственное бюджетное учреждение здравоохранения «Городская больница Святой преподобномученицы Елизаветы»",2021,Земельный участок,10850.0,Совместная собственность
Петров Сергей Викторович,декларант,https://declarator.org/person/48533,Комитет по здравоохранению,Санкт-Петербург,"главный врач, Санкт-Петербургское государственное бюджетное учреждение здравоохранения «Городская больница Святой преподобномученицы Елизаветы»",2021,Жилой дом,73.0,Совместная собственность
Оводенко Анатолий Аркадьевич,декларант,https://declarator.org/person/369662,Министерство науки и высшего образования,федеральный орган,"президент, ФГАОУ ВО ""Санкт-Петербургский государственный университет аэрокосмического приборостроения""",2021,Дача,186.0,Индивидуальная
Оводенко Анатолий Аркадьевич,декларант,https://declarator.org/person/369662,Министерство науки и высшего образования,федеральный орган,"президент, ФГАОУ ВО ""Санкт-Петербургский государственный университет аэрокосмического приборостроения""",2021,Иное,25.0,Индивидуальная
Оводенко Анатолий Аркадьевич,декларант,https://declarator.org/person/369662,Министерство науки и высшего образования,федеральный орган,"президент, ФГАОУ ВО ""Санкт-Петербургский государственный университет аэрокосмического приборостроения""",2021,Земельный участок,3700.0,Индивидуальная
Гурьев Дмитрий Владимирович,декларант,https://declarator.org/person/64030,Министерство юстиции,федеральный орган,первый проректор ФГБОУ ВО «Всероссий-ский государ-ственный университет юстиции (РПА Минюста России)»,2021,Земельный участок,670.0,В собственности
Гурьев Дмитрий Владимирович,декларант,https://declarator.org/person/64030,Министерство юстиции,федеральный орган,первый проректор ФГБОУ ВО «Всероссий-ский государ-ственный университет юстиции (РПА Минюста России)»,2021,Земельный участок,1100.0,В собственности
